,código,distrito,código_concelho,concelho,votos_concelho,votos_perdidos_concelho,votos_perdidos_concelho_cc,%_votos_perdidos_concelho,%_votos_perdidos_concelho_cc
214,140000,Santarém,141900,Torres Novas,18185,3895,127,0.214187517,0.006983778
215,140000,Santarém,142000,Vila Nova da Barquinha,3704,745,24,0.201133909,0.006479482
216,140000,Santarém,142100,Ourém,22654,3658,192,0.161472588,0.008475324
217,150000,Setúbal,150100,Alcácer do Sal,5721,295,125,0.051564412,0.021849327
218,150000,Setúbal,150200,Alcochete,9962,688,130,0.069062437,0.013049588
219,150000,Setúbal,150300,Almada,88348,6101,1178,0.069056459,0.013333635
220,150000,Setúbal,150400,Barreiro,40516,2266,553,0.055928522,0.013648929
221,150000,Setúbal,150500,Grândola,6510,366,140,0.056221198,0.021505376
222,150000,Setúbal,150600,Moita,31377,1885,554,0.060075852,0.017656245
223,150000,Setúbal,150700,Montijo,24297,1628,336,0.067004157,0.013828868
224,150000,Setúbal,150800,Palmela,31902,2274,584,0.071280797,0.018306062
225,150000,Setúbal,150900,Santiago do Cacém,13453,804,247,0.059763621,0.018360217
226,150000,Setúbal,151000,Seixal,83088,5282,1132,0.063571153,0.013624109
227,150000,Setúbal,151100,Sesimbra,25700,1731,415,0.067354086,0.01614786
228,150000,Setúbal,151200,Setúbal,58562,3785,905,0.064632355,0.015453707
229,150000,Setúbal,151300,Sines,5928,380,109,0.064102564,0.018387314
230,160000,Viana do Castelo,160100,Arcos de Valdevez,11032,1609,75,0.145848441,0.006798405
231,160000,Viana do Castelo,160200,Caminha,8877,1958,61,0.220570012,0.006871691
232,160000,Viana do Castelo,160300,Melgaço,3582,496,20,0.138470128,0.005583473
233,160000,Viana do Castelo,160400,Monção,8667,1551,47,0.178954656,0.005422868
234,160000,Viana do Castelo,160500,Paredes de Coura,4319,812,42,0.188006483,0.009724473
235,160000,Viana do Castelo,160600,Ponte da Barca,6320,959,16,0.151740506,0.002531646
236,160000,Viana do Castelo,160700,Ponte de Lima,23898,6303,132,0.26374592,0.005523475
237,160000,Viana do Castelo,160800,Valença,6322,1276,35,0.201834862,0.005536223
238,160000,Viana do Castelo,160900,Viana do Castelo,46562,11468,331,0.246295262,0.007108801
239,160000,Viana do Castelo,161000,Vila Nova de Cerveira,4637,935,24,0.201638991,0.00517576
240,170000,Vila Real,170100,Alijó,5851,1048,35,0.179114681,0.005981883
241,170000,Vila Real,170200,Boticas,3245,337,27,0.10385208,0.008320493
242,170000,Vila Real,170300,Chaves,19219,3585,84,0.186534159,0.004370675
243,170000,Vila Real,170400,Mesão Frio,1881,281,14,0.149388623,0.00744285
244,170000,Vila Real,170500,Mondim de Basto,3647,604,25,0.165615574,0.006854949
245,170000,Vila Real,170600,Montalegre,5532,645,38,0.11659436,0.006869125
246,170000,Vila Real,170700,Murça,2844,484,21,0.170182841,0.007383966
247,170000,Vila Real,170800,Peso da Régua,7472,1284,31,0.171841542,0.004148822
248,170000,Vila Real,170900,Ribeira de Pena,3394,358,21,0.105480259,0.00618739
249,170000,Vila Real,171000,Sabrosa,3181,588,13,0.184847532,0.004086765
250,170000,Vila Real,171100,Santa Marta de Penaguião,3681,532,12,0.144525944,0.003259984
251,170000,Vila Real,171200,Valpaços,7864,1366,58,0.17370295,0.007375381
252,170000,Vila Real,171300,Vila Pouca de Aguiar,6764,955,39,0.141188646,0.005765819
253,170000,Vila Real,171400,Vila Real,28729,5613,150,0.195377493,0.005221205
254,180000,Viseu,180100,Armamar,2931,616,25,0.210167178,0.008529512
255,180000,Viseu,180200,Carregal do Sal,4476,895,34,0.199955317,0.007596068
256,180000,Viseu,180300,Castro Daire,6709,1265,34,0.18855269,0.005067819
257,180000,Viseu,180400,Cinfães,8084,1085,55,0.134215735,0.006803563
258,180000,Viseu,180500,Lamego,13074,2500,62,0.191219214,0.004742236
