código,distrito,partido,votos,% votos,mandatos
100000,Leiria,PTP,137.0,0.06,0.0
100000,Leiria,R.I.R.,1199.0,0.51,0.0
100000,Leiria,VP,209.0,0.09,0.0
100000,Leiria,brancos,3809.0,1.62,0.0
100000,Leiria,nulos,2685.0,1.14,0.0
110000,Lisboa,A,749.0,0.06,0.0
110000,Lisboa,ADN,3249.0,0.27,0.0
110000,Lisboa,B.E.,55786.0,4.72,2.0
110000,Lisboa,CDS-PP,19524.0,1.65,0.0
110000,Lisboa,CH,91889.0,7.77,4.0
110000,Lisboa,IL,93341.0,7.9,4.0
110000,Lisboa,JPP,971.0,0.08,0.0
110000,Lisboa,L,28834.0,2.44,1.0
110000,Lisboa,MAS,1452.0,0.12,0.0
110000,Lisboa,MPT,1485.0,0.13,0.0
110000,Lisboa,MRPP,4916.0,0.42,0.0
110000,Lisboa,NC,879.0,0.07,0.0
110000,Lisboa,PAN,23577.0,1.99,1.0
110000,Lisboa,PCP-PEV,59995.0,5.08,2.0
110000,Lisboa,PNR,816.0,0.07,0.0
110000,Lisboa,PPD/PSD,285522.0,24.16,13.0
110000,Lisboa,PPM,0.0,0.0,0.0
110000,Lisboa,PS,482606.0,40.83,21.0
110000,Lisboa,PTP,555.0,0.05,0.0
110000,Lisboa,R.I.R.,3035.0,0.26,0.0
110000,Lisboa,VP,1369.0,0.12,0.0
110000,Lisboa,brancos,11891.0,1.01,0.0
110000,Lisboa,nulos,9433.0,0.8,0.0
120000,Portalegre,A,0.0,0.0,0.0
120000,Portalegre,ADN,0.0,0.0,0.0
120000,Portalegre,B.E.,1550.0,2.9,0.0
120000,Portalegre,CDS-PP,635.0,1.19,0.0
120000,Portalegre,CH,6136.0,11.46,0.0
120000,Portalegre,IL,1115.0,2.08,0.0
120000,Portalegre,JPP,0.0,0.0,0.0
120000,Portalegre,L,295.0,0.55,0.0
120000,Portalegre,MAS,48.0,0.09,0.0
120000,Portalegre,MPT,50.0,0.09,0.0
120000,Portalegre,MRPP,304.0,0.57,0.0
120000,Portalegre,NC,0.0,0.0,0.0
120000,Portalegre,PAN,345.0,0.64,0.0
120000,Portalegre,PCP-PEV,4058.0,7.58,0.0
120000,Portalegre,PNR,43.0,0.08,0.0
120000,Portalegre,PPD/PSD,12432.0,23.23,0.0
120000,Portalegre,PPM,0.0,0.0,0.0
120000,Portalegre,PS,25271.0,47.21,2.0
120000,Portalegre,PTP,16.0,0.03,0.0
120000,Portalegre,R.I.R.,122.0,0.23,0.0
120000,Portalegre,VP,35.0,0.07,0.0
120000,Portalegre,brancos,601.0,1.12,0.0
120000,Portalegre,nulos,472.0,0.88,0.0
130000,Porto,A,372.0,0.04,0.0
130000,Porto,ADN,1430.0,0.15,0.0
130000,Porto,B.E.,47118.0,4.78,2.0
130000,Porto,CDS-PP,14347.0,1.46,0.0
130000,Porto,CH,42998.0,4.37,2.0
130000,Porto,IL,50359.0,5.11,2.0
130000,Porto,JPP,367.0,0.04,0.0
130000,Porto,L,11433.0,1.16,0.0
130000,Porto,MAS,707.0,0.07,0.0
130000,Porto,MPT,706.0,0.07,0.0
130000,Porto,MRPP,0.0,0.0,0.0
130000,Porto,NC,922.0,0.09,0.0
130000,Porto,PAN,16707.0,1.7,0.0
130000,Porto,PCP-PEV,32277.0,3.28,1.0
130000,Porto,PNR,1007.0,0.1,0.0
130000,Porto,PPD/PSD,318343.0,32.33,14.0
130000,Porto,PPM,0.0,0.0,0.0
130000,Porto,PS,418869.0,42.53,19.0
130000,Porto,PTP,421.0,0.04,0.0
130000,Porto,R.I.R.,7212.0,0.73,0.0
130000,Porto,VP,893.0,0.09,0.0
130000,Porto,brancos,9993.0,1.01,0.0
130000,Porto,nulos,8319.0,0.84,0.0
140000,Santarém,A,0.0,0.0,0.0
140000,Santarém,ADN,0.0,0.0,0.0
140000,Santarém,B.E.,10012.0,4.59,0.0
140000,Santarém,CDS-PP,4136.0,1.9,0.0
140000,Santarém,CH,23813.0,10.91,1.0
140000,Santarém,IL,8219.0,3.77,0.0
140000,Santarém,JPP,0.0,0.0,0.0
140000,Santarém,L,1932.0,0.89,0.0
140000,Santarém,MAS,383.0,0.18,0.0
140000,Santarém,MPT,314.0,0.14,0.0
140000,Santarém,MRPP,0.0,0.0,0.0
140000,Santarém,NC,0.0,0.0,0.0
140000,Santarém,PAN,2527.0,1.16,0.0
140000,Santarém,PCP-PEV,11854.0,5.43,0.0
140000,Santarém,PNR,284.0,0.13,0.0
140000,Santarém,PPD/PSD,58630.0,26.87,3.0
140000,Santarém,PPM,0.0,0.0,0.0
140000,Santarém,PS,89870.0,41.19,5.0
140000,Santarém,PTP,162.0,0.07,0.0
140000,Santarém,R.I.R.,901.0,0.41,0.0
140000,Santarém,VP,311.0,0.14,0.0
140000,Santarém,brancos,2773.0,1.27,0.0
140000,Santarém,nulos,2071.0,0.95,0.0
150000,Setúbal,A,0.0,0.0,0.0
150000,Setúbal,ADN,1307.0,0.3,0.0
150000,Setúbal,B.E.,24931.0,5.75,1.0
150000,Setúbal,CDS-PP,4869.0,1.12,0.0
150000,Setúbal,CH,39135.0,9.03,1.0
150000,Setúbal,IL,22217.0,5.13,1.0
150000,Setúbal,JPP,203.0,0.05,0.0
150000,Setúbal,L,6140.0,1.42,0.0
150000,Setúbal,MAS,460.0,0.11,0.0
150000,Setúbal,MPT,492.0,0.11,0.0
150000,Setúbal,MRPP,2525.0,0.58,0.0
150000,Setúbal,NC,369.0,0.09,0.0
150000,Setúbal,PAN,8639.0,1.99,0.0
150000,Setúbal,PCP-PEV,43529.0,10.05,2.0
150000,Setúbal,PNR,313.0,0.07,0.0
150000,Setúbal,PPD/PSD,69963.0,16.15,3.0
150000,Setúbal,PPM,0.0,0.0,0.0
150000,Setúbal,PS,198104.0,45.73,10.0
150000,Setúbal,PTP,225.0,0.05,0.0
150000,Setúbal,R.I.R.,1429.0,0.33,0.0
150000,Setúbal,VP,514.0,0.12,0.0
150000,Setúbal,brancos,4422.0,1.02,0.0
150000,Setúbal,nulos,3431.0,0.79,0.0
160000,Viana do Castelo,A,173.0,0.14,0.0
160000,Viana do Castelo,ADN,0.0,0.0,0.0
160000,Viana do Castelo,B.E.,4418.0,3.48,0.0
160000,Viana do Castelo,CDS-PP,4272.0,3.36,0.0
160000,Viana do Castelo,CH,7702.0,6.06,0.0
160000,Viana do Castelo,IL,3651.0,2.87,0.0
160000,Viana do Castelo,JPP,0.0,0.0,0.0
160000,Viana do Castelo,L,919.0,0.72,0.0
160000,Viana do Castelo,MAS,157.0,0.12,0.0
160000,Viana do Castelo,MPT,190.0,0.15,0.0
160000,Viana do Castelo,MRPP,0.0,0.0,0.0
160000,Viana do Castelo,NC,0.0,0.0,0.0
160000,Viana do Castelo,PAN,1251.0,0.98,0.0
160000,Viana do Castelo,PCP-PEV,3815.0,3.0,0.0
