,código,distrito,partido,votos,% votos,mandatos
282,180600,Mangualde,brancos,201.0,1.86,
283,180700,Moimenta da Beira,brancos,98.0,1.71,
284,180800,Mortágua,brancos,200.0,4.06,
285,180900,Nelas,brancos,89.0,1.19,
286,181000,Oliveira de Frades,brancos,101.0,1.71,
287,181100,Penalva do Castelo,brancos,75.0,1.72,
288,181200,Penedono,brancos,23.0,1.5,
289,181300,Resende,brancos,46.0,0.74,
290,181400,Santa Comba Dão,brancos,153.0,2.42,
291,181500,São João da Pesqueira,brancos,39.0,0.99,
292,181600,São Pedro do Sul,brancos,151.0,1.61,
293,181700,Sátão,brancos,106.0,1.54,
294,181800,Sernancelhe,brancos,35.0,0.98,
295,181900,Tabuaço,brancos,30.0,1.07,
296,182000,Tarouca,brancos,34.0,0.79,
297,182100,Tondela,brancos,359.0,2.25,
298,182200,Vila Nova de Paiva,brancos,53.0,1.88,
299,182300,Viseu,brancos,962.0,1.57,
300,182400,Vouzela,brancos,98.0,1.63,
301,310100,Calheta,brancos,37.0,0.55,
302,310200,Câmara de Lobos,brancos,88.0,0.48,
303,310300,Funchal,brancos,302.0,0.48,
304,310400,Machico,brancos,51.0,0.44,
305,310500,Ponta do Sol,brancos,21.0,0.4,
306,310600,Porto Moniz,brancos,13.0,0.74,
307,310700,Ribeira Brava,brancos,54.0,0.71,
308,310800,Santa Cruz,brancos,140.0,0.56,
309,310900,Santana,brancos,26.0,0.64,
310,311000,São Vicente,brancos,20.0,0.68,
311,320100,Porto Santo,brancos,42.0,1.27,
312,410100,Vila do Porto,brancos,94.0,4.21,
313,420100,Lagoa,brancos,86.0,1.55,
314,420200,Nordeste,brancos,78.0,3.29,
315,420300,Ponta Delgada,brancos,531.0,1.8,
316,420400,Povoação,brancos,75.0,2.72,
317,420500,Ribeira Grande,brancos,244.0,2.19,
318,420600,Vila Franca do Campo,brancos,63.0,1.47,
319,430100,Angra do Heroísmo,brancos,414.0,2.39,
320,430200,Vila da Praia da Vitória,brancos,277.0,3.07,
321,440100,Santa Cruz da Graciosa,brancos,74.0,3.71,
322,450100,Calheta,brancos,53.0,3.12,
323,450200,Velas,brancos,67.0,2.66,
324,460100,Lajes do Pico,brancos,107.0,4.65,
325,460200,Madalena,brancos,116.0,3.97,
326,460300,São Roque do Pico,brancos,66.0,3.95,
327,470100,Horta,brancos,225.0,3.23,
328,480100,Lajes das Flores,brancos,24.0,3.29,
329,480200,Santa Cruz das Flores,brancos,22.0,2.3,
330,490100,Corvo,brancos,5.0,1.88,
331,10103,Aguada de Cima,brancos,34.0,1.51,
332,10109,Fermentelos,brancos,29.0,1.54,
333,10112,Macinhata do Vouga,brancos,24.0,1.37,
334,10119,Valongo do Vouga,brancos,65.0,2.41,
335,10121,Águeda e Borralha,brancos,125.0,1.63,
336,10122,Barrô e Aguada de Baixo,brancos,31.0,1.72,
337,10123,Belazaima do Chão Castanheira do Vouga e Agadão,brancos,27.0,2.88,
338,10124,Recardães e Espinhel,brancos,81.0,2.2,
339,10125,Travassô e Óis da Ribeira,brancos,38.0,2.6,
340,10126,Trofa Segadães e Lamas do Vouga,brancos,49.0,1.8,
341,10127,Préstimo e Macieira de Alcoba,brancos,6.0,1.32,
342,10202,Alquerubim,brancos,28.0,2.11,
343,10203,Angeja,brancos,23.0,1.96,
344,10204,Branca,brancos,54.0,1.67,
345,10206,Ribeira de Fráguas,brancos,19.0,1.98,
346,10209,Albergaria-a-Velha e Valmaior,brancos,104.0,1.68,
347,10210,São João de Loure e Frossos,brancos,21.0,1.26,
348,10304,Avelãs de Caminho,brancos,12.0,1.86,
