,código,distrito,ano,concelhos apurados,concelhos por apurar,total de concelhos,freguesias apuradas,freguesias por apurar,total de freguesias,consulados apurados,consulados por apurar,total de consulados,inscritos,votos,% votos,brancos,% brancos,nulos,% nulos,mandatos,mandatos por atribuir,opção 1,votos 1,% votos1,mandatos 1,opção 2,votos 2,% votos2,mandatos 2,opção 3,votos 3,% votos3,mandatos 3,opção 4,votos 4,% votos4,mandatos 4,opção 5,votos 5,% votos5,mandatos 5,opção 6,votos 6,% votos6,mandatos 6,opção 7,votos 7,% votos7,mandatos 7,opção 8,votos 8,% votos8,mandatos 8,opção 9,votos 9,% votos9,mandatos 9,opção 10,votos 10,% votos10,mandatos 10,opção 11,votos 11,% votos11,mandatos 11,opção 12,votos 12,% votos12,mandatos 12,opção 13,votos 13,% votos13,mandatos 13,opção 14,votos 14,% votos14,mandatos 14,opção 15,votos 15,% votos15,mandatos 15,opção 16,votos 16,% votos16,mandatos 16,opção 17,votos 17,% votos17,mandatos 17,opção 18,votos 18,% votos18,mandatos 18,opção 19,votos 19,% votos19,mandatos 19,opção 20,votos 20,% votos20,mandatos 20
13,110000,Lisboa,2024,16.0,0.0,16.0,134.0,0.0,134.0,,,,1915172,1319139,68.88,15711,1.19,13820,1.05,48.0,0.0,ADN,19074,1.45,0.0,B.E.,65438,4.96,2.0,CH,224526,17.02,9.0,E,1000,0.08,0.0,IL,86847,6.58,3.0,JPP,848.0,0.06,0.0,L,72102,5.47,2.0,MPT.A,1174.0,0.09,0.0,,,,,ND,2365.0,0.18,0.0,PAN,32829,2.49,1.0,PCP-PEV,49257,3.73,2.0,PCTP/MRPP,4464.0,0.34,0.0,,,,,PPD/PSD.CDS-PP.PPM,356698.0,27.04,14.0,,,,,PS,365838,27.73,15.0,PTP,1331.0,0.1,0.0,R.I.R.,2854,0.22,0.0,VP,2963.0,0.22,0.0
14,120000,Portalegre,2024,15.0,0.0,15.0,69.0,0.0,69.0,,,,93106,60662,65.15,920,1.52,645,1.06,2.0,0.0,ADN,631,1.04,0.0,B.E.,1894,3.12,0.0,CH,14915,24.59,1.0,E,54,0.09,0.0,IL,1146,1.89,0.0,,,,,L,873,1.44,0.0,MPT.A,31.0,0.05,0.0,,,,,ND,121.0,0.2,0.0,PAN,506,0.83,0.0,PCP-PEV,3604,5.94,0.0,PCTP/MRPP,303.0,0.5,0.0,,,,,PPD/PSD.CDS-PP.PPM,14132.0,23.3,0.0,,,,,PS,20658,34.05,1.0,,,,,R.I.R.,176,0.29,0.0,VP,53.0,0.09,0.0
15,130000,Porto,2024,18.0,0.0,18.0,243.0,0.0,243.0,,,,1591759,1114868,70.04,14404,1.29,11035,0.99,40.0,0.0,ADN,19585,1.76,0.0,B.E.,51909,4.66,2.0,CH,170910,15.33,7.0,E,740,0.07,0.0,IL,64050,5.75,2.0,JPP,1150.0,0.1,0.0,L,37319,3.35,1.0,,,,,NC,788.0,0.07,0.0,ND,1786.0,0.16,0.0,PAN,23415,2.1,0.0,PCP-PEV,26343,2.36,1.0,PCTP/MRPP,3444.0,0.31,0.0,,,,,PPD/PSD.CDS-PP.PPM,339096.0,30.42,14.0,,,,,PS,338084,30.33,13.0,,,,,R.I.R.,9163,0.82,0.0,VP,1647.0,0.15,0.0
16,140000,Santarém,2024,21.0,0.0,21.0,141.0,0.0,141.0,,,,377261,251064,66.55,3868,1.54,2939,1.17,9.0,0.0,ADN,3505,1.4,0.0,B.E.,11204,4.46,0.0,CH,58554,23.32,3.0,E,363,0.14,0.0,IL,9492,3.78,0.0,,,,,L,6186,2.46,0.0,MPT.A,295.0,0.12,0.0,,,,,ND,463.0,0.18,0.0,PAN,3926,1.56,0.0,PCP-PEV,10343,4.12,0.0,,,,,,,,,PPD/PSD.CDS-PP.PPM,68493.0,27.28,3.0,,,,,PS,69915,27.85,3.0,,,,,R.I.R.,951,0.38,0.0,VP,567.0,0.23,0.0
17,150000,Setúbal,2024,13.0,0.0,13.0,55.0,0.0,55.0,,,,751292,502587,66.9,6256,1.24,5074,1.01,19.0,0.0,ADN,7661,1.52,0.0,B.E.,30161,6.0,1.0,CH,102077,20.31,4.0,E,558,0.11,0.0,IL,26941,5.36,1.0,JPP,430.0,0.09,0.0,L,21552,4.29,1.0,MPT.A,438.0,0.09,0.0,,,,,ND,1235.0,0.25,0.0,PAN,12856,2.56,0.0,PCP-PEV,38841,7.73,1.0,PCTP/MRPP,2363.0,0.47,0.0,,,,,PPD/PSD.CDS-PP.PPM,86297.0,17.17,4.0,,,,,PS,157166,31.27,7.0,PTP,393.0,0.08,0.0,R.I.R.,1323,0.26,0.0,VP,965.0,0.19,0.0
18,160000,Viana do Castelo,2024,10.0,0.0,10.0,208.0,0.0,208.0,,,,233491,142913,61.21,2682,1.88,1539,1.08,5.0,0.0,ADN,2263,1.58,0.0,B.E.,4926,3.45,0.0,CH,26635,18.64,1.0,E,147,0.1,0.0,IL,5106,3.57,0.0,,,,,L,2813,1.97,0.0,MPT.A,204.0,0.14,0.0,,,,,ND,706.0,0.49,0.0,PAN,2057,1.44,0.0,PCP-PEV,3106,2.17,0.0,,,,,,,,,PPD/PSD.CDS-PP.PPM,49613.0,34.72,2.0,,,,,PS,40237,28.15,2.0,,,,,R.I.R.,624,0.44,0.0,VP,255.0,0.18,0.0
19,170000,Vila Real,2024,14.0,0.0,14.0,197.0,0.0,197.0,,,,208667,117056,56.1,1494,1.28,1546,1.32,5.0,0.0,ADN,2958,2.53,0.0,B.E.,2865,2.45,0.0,CH,20032,17.11,1.0,E,117,0.1,0.0,IL,2378,2.03,0.0,,,,,L,1592,1.36,0.0,,,,,,,,,ND,278.0,0.24,0.0,PAN,1062,0.91,0.0,PCP-PEV,1599,1.37,0.0,,,,,,,,,PPD/PSD.CDS-PP.PPM,46040.0,39.33,2.0,,,,,PS,34654,29.6,2.0,,,,,R.I.R.,319,0.27,0.0,VP,122.0,0.1,0.0
20,180000,Viseu,2024,24.0,0.0,24.0,277.0,0.0,277.0,,,,335659,211586,63.04,3302,1.56,2627,1.24,8.0,0.0,ADN,6615,3.13,0.0,B.E.,5846,2.76,0.0,CH,41159,19.45,2.0,E,164,0.08,0.0,IL,5948,2.81,0.0,,,,,L,3566,1.69,0.0,MPT.A,179.0,0.08,0.0,,,,,ND,544.0,0.26,0.0,PAN,2554,1.21,0.0,PCP-PEV,2905,1.37,0.0,,,,,,,,,PPD/PSD.CDS-PP.PPM,76927.0,36.36,3.0,,,,,PS,58077,27.45,3.0,,,,,R.I.R.,831,0.39,0.0,VP,342.0,0.16,0.0
21,300000,Madeira,2024,11.0,0.0,11.0,54.0,0.0,54.0,,,,254502,149783,58.85,794,0.53,2685,1.79,6.0,0.0,ADN,2348,1.57,0.0,B.E.,4404,2.94,0.0,CH,26296,17.56,1.0,E,239,0.16,0.0,IL,5827,3.89,0.0,JPP,14344.0,9.58,0.0,L,1864,1.24,0.0,MPT.A,228.0,0.15,0.0,NC,305.0,0.2,0.0,,,,,PAN,3127,2.09,0.0,PCP-PEV,2429,1.62,0.0,,,,,PPD/PSD.CDS-PP,52992.0,35.38,3.0,,,,,PPM,451.0,0.3,0.0,PS,29723,19.84,2.0,PTP,719.0,0.48,0.0,R.I.R.,725,0.48,0.0,VP,283.0,0.19,0.0
22,400000,Açores,2024,19.0,0.0,19.0,156.0,0.0,156.0,,,,230082,106273,46.19,2621,2.47,1070,1.01,5.0,0.0,ADN,829,0.78,0.0,B.E.,3622,3.41,0.0,CH,16744,15.76,1.0,E,64,0.06,0.0,IL,2882,2.71,0.0,JPP,213.0,0.2,0.0,L,1816,1.71,0.0,,,,,,,,,,,,,PAN,1654,1.56,0.0,PCP-PEV,1160,1.09,0.0,,,,,,,,,PPD/PSD.CDS-PP.PPM,42343.0,39.84,2.0,,,,,PS,31015,29.18,2.0,,,,,R.I.R.,125,0.12,0.0,VP,115.0,0.11,0.0
